,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
0,2126,4,1,Rural,1969,215355.28361820136
1,2459,3,2,Rural,1980,195014.22162584803
2,1860,2,1,Suburb,1970,306891.0120763329
3,2294,2,1,Urban,1996,206786.78715332696
4,2130,5,2,Suburb,2001,272436.239065061
5,2095,2,3,Suburb,2020,198208.80390657103
6,2724,2,1,Suburb,1993,343429.3191099182
7,2044,4,3,Rural,1957,184992.321268412
8,2638,4,3,Urban,1959,377998.58815204125
9,1121,5,2,Urban,2004,95961.92601406392
10,1466,5,3,Suburb,1951,191113.7686788604
11,2238,3,3,Suburb,1987,253358.64500167352
12,1330,2,2,Suburb,1992,132172.3926169813
13,2482,4,3,Suburb,1989,231157.02767588635
14,1087,4,1,Urban,1976,118393.82316264397
15,2396,2,2,Suburb,1993,267377.3996858498
16,2123,5,2,Rural,1956,190773.14856300573
17,1871,4,2,Suburb,1977,172989.80490101498
18,2687,5,1,Urban,1979,239222.6677969504
19,1130,4,3,Rural,1962,143050.20178240183
20,2685,4,3,Urban,1999,405523.82831733953
21,2332,3,3,Rural,1978,263954.1540627713
22,1769,4,1,Suburb,1963,148310.62016790514
23,1343,2,3,Rural,2013,151733.92248999208
24,2515,2,3,Urban,2013,307961.1073823952
25,2437,2,1,Rural,2004,276162.86180465267
26,1805,5,1,Rural,2002,243985.2054715822
27,1385,4,3,Rural,1996,88030.54185271678
28,2215,5,1,Urban,1952,282908.98169371625
29,1955,3,1,Rural,2014,240976.55176671065
30,1276,4,1,Rural,1965,104747.33458904953
31,2184,2,2,Suburb,1959,347207.38956128363
32,1459,3,2,Rural,2006,77493.9314389322
33,2337,3,3,Suburb,2008,331851.0816694101
34,1021,4,3,Rural,2013,110408.67080143408
35,1252,2,1,Urban,1993,127932.75677961828
36,1747,5,3,Rural,1982,228683.2269961876
37,1856,4,2,Rural,1959,124711.70785494654
38,2584,2,3,Suburb,2001,415850.77083678055
39,1474,3,3,Urban,1959,184819.96119001516
40,2082,4,2,Suburb,1966,164855.98777549056
41,1510,3,2,Suburb,2002,156928.01471681413
42,2705,2,1,Urban,1971,282457.8613741379
43,2499,5,1,Urban,2021,287591.6728221959
44,1699,5,1,Rural,1960,156313.5941951282
45,1975,3,3,Suburb,2016,279764.3710402287
46,2806,3,3,Suburb,1962,366494.48060208897
47,1189,3,3,Urban,2007,244539.2816890332
48,1957,4,2,Rural,1994,239299.9944944986
49,1686,2,3,Urban,1994,249148.34468610145
50,1957,3,2,Rural,1992,304197.5798399542
51,1562,3,3,Rural,2013,89378.55062087673
52,2899,3,3,Rural,1988,427295.4046033164
53,2590,5,2,Suburb,1957,328501.8015463275
54,2267,3,2,Urban,1989,215867.4189845816
55,1831,2,2,Rural,2000,190058.8928999779
56,2528,5,1,Urban,1969,259751.15444635935
57,2154,2,1,Rural,2015,166810.3886512713
58,2508,5,3,Suburb,2007,352932.1624639027
59,2842,5,3,Urban,2014,422042.91851435706
60,1646,4,3,Suburb,1994,91423.61964633202
61,1020,5,1,Rural,1983,220053.8603574218
62,1840,5,3,Suburb,1961,216148.20845399628
63,1166,2,2,Suburb,1972,161587.15372788318
64,2297,2,2,Urban,2017,194967.9094711132
65,1387,3,1,Rural,2002,152828.720291152
66,1600,4,2,Rural,2002,256725.9809436184
67,1315,5,2,Suburb,1989,98039.30310069738
68,1013,4,3,Urban,2002,164858.18694892063
69,1241,3,2,Urban,1985,199373.18209909197
70,1776,4,2,Urban,2014,181245.4467436535
71,2369,5,1,Suburb,1963,209700.7184829428
72,1564,2,2,Rural,1983,163053.3920501942
73,1897,4,2,Rural,1975,304004.68986597785
74,2363,5,3,Urban,2004,308830.9396512381
75,1091,3,3,Urban,2012,194294.00184175
76,2390,5,3,Urban,2019,172777.3198326151
77,1955,4,1,Suburb,1995,197656.07026552537
78,2478,5,3,Urban,1986,273365.49912049377
79,2451,5,2,Rural,1972,216047.21814963987
80,1508,4,1,Urban,1965,149586.15312931265
81,1775,4,2,Suburb,1981,214171.08224172727
82,2966,3,2,Rural,1956,277419.0001600792
83,1034,5,3,Rural,1993,117295.37520060757
84,1205,2,1,Urban,1996,180760.867453112
85,2104,4,1,Suburb,1954,202715.1601476104
86,2955,5,3,Rural,2012,378403.5710107572
87,2585,2,1,Suburb,1961,257776.0924243205
88,2895,2,2,Suburb,2021,266046.87792908505
89,2411,5,1,Rural,1958,337645.67623531295
90,2025,5,2,Rural,1993,240145.9702539115
91,2021,5,1,Suburb,1971,92641.62211021264
92,2413,2,1,Urban,1995,152037.88283583574
93,1565,5,3,Rural,1957,149848.61640852437
94,2129,4,3,Urban,2005,220384.43445019663
95,2795,2,1,Rural,1977,305658.56385268376
96,2845,4,2,Urban,1996,318297.25657762005
97,2500,4,3,Rural,1984,230749.27633657065
98,1702,5,3,Urban,1970,201925.84088885225
99,1401,4,3,Suburb,1982,149576.68114338422
100,1729,5,1,Rural,2019,171877.06629783398
101,2579,2,2,Urban,1997,245276.73391788083
102,1161,4,2,Suburb,2003,288571.1271841178
103,1201,5,1,Urban,1951,87804.5603712397
104,2981,3,2,Rural,1982,267127.0106286388
105,1995,5,3,Suburb,1965,221217.76933158597
106,1269,3,2,Suburb,1999,218784.63298580731
107,2886,5,3,Rural,1969,315607.02376495936
108,1815,3,3,Urban,2016,217967.92847377845
109,2294,4,1,Rural,1994,353343.63401135267
110,1455,3,3,Urban,1984,187002.96390785457
111,2485,4,2,Rural,1978,222855.0832963985
112,2750,4,2,Rural,1994,366548.8223262025
113,2275,5,2,Rural,1964,259473.2793370484
114,2016,4,2,Urban,1952,212440.4223945249
115,2725,2,2,Urban,2018,237066.6856356926
116,1295,3,3,Urban,1983,158357.6480582802
117,2748,5,1,Suburb,2020,255619.99775314287
118,1719,4,1,Suburb,1953,190659.43496867083
119,2772,3,2,Urban,1968,284985.43569363654
120,1337,3,3,Urban,1970,214741.228522745
121,1878,2,1,Suburb,1964,128693.02879404814
122,2076,3,2,Rural,1966,184051.98271688656
123,1791,5,3,Rural,2003,242865.26019000952
124,2945,5,1,Urban,1986,295356.77549321775
125,1216,4,3,Rural,2003,107868.93208831896
126,1763,4,2,Urban,1971,207380.13609180792
127,1187,5,3,Suburb,1957,132828.81413178446
128,1379,3,1,Urban,1960,84493.6913127725
129,1492,3,1,Suburb,2019,53360.86540604882
130,2064,2,3,Rural,1958,296199.3496255564
131,2180,4,1,Urban,1951,273924.557395998
132,1014,3,3,Urban,1981,204340.7258965054
133,2836,3,3,Urban,2000,228582.09695971967
134,1064,4,2,Suburb,1986,237384.3466275038
135,2880,5,2,Rural,1955,312245.8679787154
136,2862,3,3,Urban,1961,219408.6249604324
137,1520,2,1,Rural,2003,201334.94160447217
138,2367,3,2,Suburb,1995,221413.5776081872
139,2152,3,1,Rural,1982,306839.62194227794
140,1647,2,3,Urban,1967,126756.3572316613
141,2495,5,1,Urban,1987,328702.8347369156
142,2086,2,1,Suburb,2008,141074.02839361285
143,2162,2,3,Rural,1956,220712.46134879728
144,2522,4,2,Urban,1964,319176.8398973249
145,1592,3,2,Suburb,1950,245299.2098929523
146,1391,5,1,Rural,1995,51154.13113008726
147,2698,3,3,Urban,1981,314018.0283390546
148,1418,5,3,Suburb,1998,222904.25800629333
149,1288,2,2,Suburb,1959,115697.77821526628
150,1378,4,3,Suburb,1966,140714.77037514705
151,2796,2,3,Suburb,1969,178353.14814536367
152,2513,3,1,Suburb,2000,280022.0311214733
153,1230,4,1,Rural,1971,136418.4807787985
154,2017,4,2,Urban,1969,195803.9703359068
155,1040,3,2,Rural,2014,98933.439065306
156,2051,5,1,Suburb,1953,185052.5631740863
157,1134,4,3,Urban,2003,160764.43940877952
158,1200,5,3,Suburb,2014,156394.27348181067
159,2863,5,1,Suburb,2000,333464.1490294491
160,1779,5,1,Urban,1960,211994.3281859909
161,1929,4,1,Rural,1976,252779.69087222763
162,2056,2,1,Urban,1975,288750.4043072761
163,2071,4,3,Rural,1966,185482.06063162317
164,1502,2,3,Suburb,1991,119671.3689479028
165,1406,4,2,Suburb,1997,148891.4193350198
166,2597,2,1,Rural,1982,235810.22355681533
167,2751,2,2,Suburb,2010,357765.11724448414
168,1804,4,3,Rural,1978,216771.35995628755
169,1098,5,2,Rural,2012,102580.49836622812
170,1683,5,3,Urban,1986,208774.14233121456
171,2895,2,3,Suburb,2005,302454.6401474587
172,1725,3,2,Urban,1965,208558.78172335384
173,2570,3,2,Urban,2005,276434.5399454463
174,1960,4,1,Suburb,1991,220786.7119550845
175,2762,4,3,Urban,1973,354268.47524739604
176,1612,4,1,Suburb,2018,142420.97226095255
177,2966,3,1,Suburb,1980,299146.59537507093
178,2485,5,3,Urban,1960,321647.4526525699
179,1642,4,2,Suburb,1951,216976.90806023663
180,2792,4,1,Suburb,2020,243179.70337319985
181,2028,5,1,Suburb,1984,184210.77355558556
182,2241,2,3,Suburb,2011,175779.56815188617
183,1502,4,2,Urban,2003,162271.08640489963
184,1766,3,2,Rural,2018,240727.03972085557
185,1397,3,1,Urban,2000,186900.94639311853
186,1870,4,3,Rural,1958,208692.1497994106
187,1794,3,1,Rural,1963,114333.69387419586
188,1392,5,2,Rural,2005,225281.32417764855
189,1206,2,1,Suburb,1983,110852.45257182162
190,2038,2,3,Rural,1950,206119.18171087175
191,2881,4,1,Suburb,1987,292218.3734233528
192,2577,4,2,Suburb,1966,209166.2973385366
193,1891,2,3,Suburb,1965,283220.10867648444
194,2484,2,3,Urban,1997,354538.82144245284
195,2714,4,3,Rural,1999,290954.49181524914
196,2598,3,3,Urban,2020,207377.55545532453
197,1863,4,3,Suburb,1990,267934.0925699399
198,1742,5,1,Urban,1993,235034.89983819608
199,2264,4,3,Suburb,1964,246611.88309182983
200,1563,4,2,Urban,2010,314867.65157339314
201,2020,4,3,Suburb,1999,278092.75713699666
202,1095,4,2,Suburb,2001,88443.38397499491
203,2923,4,2,Urban,2001,235396.4544878884
204,2757,4,2,Suburb,1985,280503.8129283642
205,1484,3,2,Rural,1982,273072.3372618648
206,2430,4,2,Urban,1994,252666.84831969367
207,1230,2,1,Urban,1951,133914.40680878342
208,1748,4,2,Suburb,1950,142717.8302268369
209,2678,3,2,Urban,2019,266197.0443802551
210,2194,5,2,Rural,1996,245433.69445927496
211,1540,2,1,Urban,2013,177796.40298151918
212,2059,4,3,Rural,1967,226582.27427106167
213,1524,4,2,Urban,2003,170745.4653213651
214,2183,2,1,Rural,1984,194059.37069774355
215,2862,4,1,Urban,2008,347187.40927735553
216,2722,3,1,Rural,1985,345978.9788809702
217,2266,4,3,Suburb,1975,323981.5079872238
218,2109,5,1,Urban,1994,185909.90163690777
219,2819,3,2,Urban,2018,231642.41525201904
220,1577,4,2,Rural,1979,181472.0115124785
221,1681,5,2,Urban,1982,247683.3818141536
222,1556,2,3,Rural,1972,174119.77971258396
223,2597,3,1,Suburb,1970,249931.38186463085
224,2976,4,2,Rural,2012,352084.04725339817
225,2012,4,2,Urban,2019,356256.91027704417
226,1645,2,2,Suburb,2017,115738.60239613194
227,1795,2,3,Rural,1985,265399.2764300769
228,2051,3,2,Rural,1986,205543.4524987724
229,2643,3,1,Suburb,1950,248155.87168453963
230,2579,3,1,Urban,1975,318796.39679075696
231,2363,4,3,Urban,1991,254479.2559878204
232,2821,4,3,Urban,1989,248782.21694158544
233,2981,3,3,Suburb,2002,320922.1761831169
